feature	GSM3995405	GSM3995404	GSM3995402	GSM3995428	GSM3995427	GSM3995426	GSM3995425	GSM3995424	GSM3995423	GSM3995422	GSM3995421	GSM3995417	GSM3995416	GSM3995415	GSM3995414	GSM3995411	GSM3995410	GSM3995408	GSM3995407	GSM3995406	GSM3995403	GSM3995420	GSM3995419	GSM3995418	GSM3995413	GSM3995412	GSM3995409
SEMATOSTATIN.EpithelialCells_to_Fibroblasts	-0.06504956918002287	-0.07316243900477913	-0.03342616252340434	-0.04396550305735433	-0.06623652950673152	-0.06811363749392907	-0.06822927451061167	-0.06625440708283659	-0.0650280344753907	-0.06479345680202564	-0.08110462724585717	-0.08929372696304297	-0.020610264314555173	-0.044628931496749756	-0.05430136044208813	-0.05725542043444825	-0.059276925946059725	-0.04783574304919061	-0.048341543334235314	-0.061829090905125124	-0.05101616609522961	-0.062144249647391986	-0.03892962153978371	-0.07242974939105544	-0.06261597602473055	-0.06259437501932276	-0.0685337382098526
SEMATOSTATIN.EpithelialCells_to_ImmuneCells	-0.04563129306363451	-0.05527923956040161	-0.007794785991817844	-0.03946413289773259	-0.04481700989573741	-0.0449373493391872	-0.05885055547644059	-0.030317294598965944	-0.03636226743972675	-0.04277645464844798	-0.044729557473081466	-0.06944467862732889	0.005142787865396539	-0.02533299787583282	-0.03603091856852244	-0.02864386084946086	-0.0280796706719342	-0.051559482516243975	-0.022431719691421357	-0.03607675822251491	-0.038161798756891734	-0.04052596959548723	-0.028929092144909827	-0.04678168771844854	-0.04067647357705995	-0.04068061016396739	-0.0460600171203846
SEMATOSTATIN.Fibroblasts_to_EndothelialCells	-0.00312286244462813	-0.0009370458732442528	-0.0003756450216317877	-0.002963860266206793	-0.003868821966442629	-0.003889114305976336	-5.6466148118377424e-05	-0.000817309266836361	-0.002695733881026169	-0.0031103437446988414	-0.002656434764815848	-0.005522195479288834	-0.0026376649522615006	-0.0027779609726448183	-0.001463050454121069	-0.004122727927465627	-0.0031649159790145525	-0.003181671258625093	-0.0030801343728502255	-0.002799228094507907	-0.003012898534422664	-0.003125680955810816	-0.0021932862733968065	-0.00278979366288295	-0.003065304316829866	-0.003065456940590864	-0.002697056767883718
SEMATOSTATIN.Fibroblasts_to_EpithelialCells	-0.009546574167255946	-0.01078809483574204	-0.007361950886516491	-0.011767295310355178	-0.00849360252110518	-0.00907137965858932	-0.007709025140363658	-0.0015391331954060312	-0.013850444402047975	-0.006845368508917783	0.001903128129615122	-0.010604403146850763	-0.011472234424571685	-0.008933396164617396	-0.007983376614214494	-0.009102152748989222	-0.010816011183962079	-0.013150176924374767	0.00010680849224768449	-0.007101807279930725	-0.008456372077137701	-0.008323442087664881	-0.008007486694099522	-0.006250071755012566	-0.008335367397480404	-0.008334809591069754	-0.007475635326644635
SEMATOSTATIN.Fibroblasts_to_Fibroblasts	-0.06504956918002287	-0.07316243900477913	-0.03342616252340434	-0.04396550305735433	-0.06623652950673152	-0.06811363749392907	-0.06822927451061167	-0.06625440708283659	-0.0650280344753907	-0.06479345680202564	-0.08110462724585717	-0.08929372696304297	-0.020610264314555173	-0.044628931496749756	-0.05430136044208813	-0.05725542043444825	-0.059276925946059725	-0.04783574304919061	-0.048341543334235314	-0.061829090905125124	-0.05101616609522961	-0.062144249647391986	-0.03892962153978371	-0.07242974939105544	-0.06261597602473055	-0.06259437501932276	-0.0685337382098526
SEMATOSTATIN.Fibroblasts_to_ImmuneCells	-0.04563129306363451	-0.05527923956040161	-0.007794785991817844	-0.03946413289773259	-0.04481700989573741	-0.0449373493391872	-0.05885055547644059	-0.030317294598965944	-0.03636226743972675	-0.04277645464844798	-0.044729557473081466	-0.06944467862732889	0.005142787865396539	-0.02533299787583282	-0.03603091856852244	-0.02864386084946086	-0.0280796706719342	-0.051559482516243975	-0.022431719691421357	-0.03607675822251491	-0.038161798756891734	-0.04052596959548723	-0.028929092144909827	-0.04678168771844854	-0.04067647357705995	-0.04068061016396739	-0.0460600171203846
SEMATOSTATIN.ImmuneCells_to_EndothelialCells	-0.00312286244462813	-0.0009370458732442528	-0.0003756450216317877	-0.002963860266206793	-0.003868821966442629	-0.003889114305976336	-5.6466148118377424e-05	-0.000817309266836361	-0.002695733881026169	-0.0031103437446988414	-0.002656434764815848	-0.005522195479288834	-0.0026376649522615006	-0.0027779609726448183	-0.001463050454121069	-0.004122727927465627	-0.0031649159790145525	-0.003181671258625093	-0.0030801343728502255	-0.002799228094507907	-0.003012898534422664	-0.003125680955810816	-0.0021932862733968065	-0.00278979366288295	-0.003065304316829866	-0.003065456940590864	-0.002697056767883718
SEMATOSTATIN.ImmuneCells_to_EpithelialCells	-0.009546574167255946	-0.01078809483574204	-0.007361950886516491	-0.011767295310355178	-0.00849360252110518	-0.00907137965858932	-0.007709025140363658	-0.0015391331954060312	-0.013850444402047975	-0.006845368508917783	0.001903128129615122	-0.010604403146850763	-0.011472234424571685	-0.008933396164617396	-0.007983376614214494	-0.009102152748989222	-0.010816011183962079	-0.013150176924374767	0.00010680849224768449	-0.007101807279930725	-0.008456372077137701	-0.008323442087664881	-0.008007486694099522	-0.006250071755012566	-0.008335367397480404	-0.008334809591069754	-0.007475635326644635
SEMATOSTATIN.ImmuneCells_to_Fibroblasts	-0.06504956918002287	-0.07316243900477913	-0.03342616252340434	-0.04396550305735433	-0.06623652950673152	-0.06811363749392907	-0.06822927451061167	-0.06625440708283659	-0.0650280344753907	-0.06479345680202564	-0.08110462724585717	-0.08929372696304297	-0.020610264314555173	-0.044628931496749756	-0.05430136044208813	-0.05725542043444825	-0.059276925946059725	-0.04783574304919061	-0.048341543334235314	-0.061829090905125124	-0.05101616609522961	-0.062144249647391986	-0.03892962153978371	-0.07242974939105544	-0.06261597602473055	-0.06259437501932276	-0.0685337382098526
SEMATOSTATIN.ImmuneCells_to_ImmuneCells	-0.04563129306363451	-0.05527923956040161	-0.007794785991817844	-0.03946413289773259	-0.04481700989573741	-0.0449373493391872	-0.05885055547644059	-0.030317294598965944	-0.03636226743972675	-0.04277645464844798	-0.044729557473081466	-0.06944467862732889	0.005142787865396539	-0.02533299787583282	-0.03603091856852244	-0.02864386084946086	-0.0280796706719342	-0.051559482516243975	-0.022431719691421357	-0.03607675822251491	-0.038161798756891734	-0.04052596959548723	-0.028929092144909827	-0.04678168771844854	-0.04067647357705995	-0.04068061016396739	-0.0460600171203846
